;appid;name;Year;english;platforms_windows;platforms_mac;platforms_linux;genres_Action;genres_Free to Play;genres_Strategy;genres_Adventure;genres_Indie;genres_RPG;genres_Casual;genres_Simulation;genres_Racing;genres_Violent;genres_Massively Multiplayer;genres_Nudity;genres_Sports;genres_Early Access;genres_Gore;genres_Sexual Content;categories_Multi-player;categories_Online Multi-Player;categories_Local Multi-Player;categories_Valve Anti-Cheat enabled;categories_Single-player;categories_Steam Cloud;categories_Steam Achievements;categories_Steam Trading Cards;categories_Captions available;categories_Partial Controller Support;categories_Includes Source SDK;categories_Cross-Platform Multiplayer;categories_Stats;categories_Commentary available;categories_Includes level editor;categories_Steam Workshop;categories_In-App Purchases;categories_Co-op;categories_Full controller support;categories_Steam Leaderboards;categories_SteamVR Collectibles;categories_Online Co-op;categories_Shared/Split Screen;categories_Local Co-op;categories_MMO;categories_VR Support;categories_Mods;categories_Mods (require HL2);categories_Steam Turn Notifications;achievements;%_ratings;QTD_ratings;owners_mean;average_playtime_>0;price;log_price;log_log_price
13390;594650;Hunt Showdown;2018;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0.7451086369041184;27753;1500000.0;1;25.99;3.2954664270299134;1.4575601472185935
13393;594720;Star Merchant;2017;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5686274509803921;51;150000.0;1;1.59;0.9516578757114463;0.6686792040391188
13410;595140;Immortal Redneck;2017;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;44;0.9103398409255242;1383;150000.0;1;14.95;2.7694588292308535;1.3269314445330012
13415;595280;Throne of Lies® The Online Game of Deceit;2017;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8461123110151187;1852;150000.0;1;6.99;2.0781907597781832;1.1243420087328786
13417;595320;Polterheist;2017;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3829787234042553;188;150000.0;0;3.99;1.6074359097634274;0.958367328401236
13420;595430;Sky Knights;2017;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;23;0.9421221864951769;311;35000.0;1;6.99;2.0781907597781832;1.1243420087328786
13421;595440;CPU Invaders;2017;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0.8442105263157895;475;150000.0;1;0.79;0.5822156198526637;0.45882615579297503
13422;595460;Flix and Chill;2017;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0.8157894736842105;190;350000.0;1;0.79;0.5822156198526637;0.45882615579297503
13424;595480;Hunahpu: way of the Warrior;2017;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0.4714285714285714;70;35000.0;1;3.19;1.4327007339340463;0.8890020533316936
13425;595520;FINAL FANTASY XII THE ZODIAC AGE;2018;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;41;0.8603126575895108;1983;150000.0;1;34.99;3.5832411220909393;1.5224064164255622
13429;595640;Robo Do It;2017;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7407407407407407;27;35000.0;1;0.79;0.5822156198526637;0.45882615579297503
13431;595690;One Hour One Life;2018;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8049678012879485;1087;35000.0;0;15.49;2.8027541365715076;1.3357255769933607
13452;596590;Linked;2017;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0.9418604651162791;86;150000.0;1;1.99;1.095273387402595;0.739684040040582
13456;596650;Tap Adventure: Time Travel;2017;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;116;0.6716016150740243;743;150000.0;1;0.0;0.0;0.0
13457;596690;REVENGE: First Blood;2017;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6410256410256411;39;75000.0;1;3.19;1.4327007339340463;0.8890020533316936
13462;596870;Drop Hunt - Adventure Puzzle;2017;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8503937007874016;127;75000.0;1;0.99;0.688134638736401;0.5236241552775212
13465;596940;Hide and Seek;2017;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0.339041095890411;292;150000.0;1;0.0;0.0;0.0
13467;596970;SUNLESS SKIES;2019;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;31;0.8033240997229917;722;75000.0;0;18.99;2.995232148512309;1.3851016872952149
13473;597110;Fruit Sudoku🍉;2017;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0.4;50;150000.0;1;0.78;0.5766133643039938;0.4552791062689097
13475;597150;Hyper Knights;2017;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;1;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;40;0.8888888888888888;522;75000.0;1;3.99;1.6074359097634274;0.958367328401236
13476;597170;Clone Drone in the Danger Zone;2017;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0.9457286432160804;1990;150000.0;1;10.99;2.4840729690394228;1.248202002812099
13479;597210;Bayou Island - Point and Click Adventure;2017;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5283018867924528;53;35000.0;0;1.59;0.9516578757114463;0.6686792040391188
